序号,姓名,英文/拼音,性别,国籍,机构名称,专业背景,类别,合作内容,职务
367,大卫·康迪,Davide Conti,男,意大利,,,协会,2018初评评委,"Davide Conti设计工作室创始人、设计总监,意大利工业设计协会ADI中国总经理
Founder&Owner of Head of Design, Davide Conti Design Studio/General Manager ADI China"
368,Paolo Castelli,Paolo Castelli,男,意大利,,,企业,"2016提名专家
2017提名专家",Paolo Castelli CEO 意大利
369,Marinella Ferrara,Marinella Ferrara,/,意大利,,,协会,,ADI理事会成员、副教授
376,Andrea Filippi,Andrea Filippi,/,意大利,,,企业,,filo斐络设计总监design director
377,Amandine David,Amandine David,女,意大利,,,奖项/组委会,"2016提名专家
2017提名专家",独立策展人
378,Alberto Manai,Alberto Manai,男,意大利,,,政府,"2016提名专家
2017提名专家",意大利驻沪总领事馆文化处主任
379,Gilda Bojardi,Gilda Bojardi,女,意大利,,,媒体,,interni主编
380,luisa Bocchietto,luisa Bocchietto,女,意大利,,,协会,,WDO主席（WDO Board President）
381,Srini R Srinivasan,Srini R Srinivasan,男,美国,,,协会,2019总决赛评委,"美国LUMIUM设计公司CEO
CEO of LUMIUM DESIGN, Inc., USA
The President-Elect of WDO (World Design Organization"
382,Gilles Rougon,Gilles Rougon,男,意大利,,,协会,,WDO董事会财务主管（Treasurer of the Board）
383,中澤克二,,男,日本,,,媒体,,日本经济新闻社编集委员兼论说委员
384,吉田典之,,男,日本,,,媒体,,読壳新闻东京本社论说委员
385,深澤亮爾,,男,日本,,,媒体,,読壳新闻东京本社编集局国际部 记者
386,福本容子,,女,日本,,,媒体,,每日新闻社论说委员
387,渥美龍太,,女,日本,,,媒体,,"东京新闻 中日新闻 
编集局日银记者"
388,野崎亮,,男,日本,,,媒体,,"东京新闻 中日新闻 
编集局编集局 经济部 记者"
389,髙橋尚哉,,男,日本,,,媒体,,北海道新闻社东京支社 编集局 记者
390,奥古龍太,,男,日本,,,媒体,,北海道新闻社报道局 国际部 副部长
391,Katsutoshi Ishibashi,,男,日本,,,媒体,,AXIS主编
392,Hiro Matsunaga,,男,日本,,,媒体,,Car Styling主编
393,石桥胜利,Katsutoshi Ishibashi,男,日本,,,媒体,"2016提名专家
2017提名专家",日本综合性设计杂志AXIS 主编
394,青木史郎,Shiro Aoki,男,日本,,,奖项/组委会,"2017复评评委
2018复评评委
2019复评评委","Good Design Award名誉顾问
Good Design Fellow"
395,古庄速人,Hayato Furusho,男,日本,,,媒体,,CAR STYLING编辑（Editor）
397,柴田文江,Fumie SHIBATA,女,日本,,,企业,,"Design Studio S创始人，设计师
Gmark2016年评审副委员长"
400,Kentaro SHIMOKURA,,男,日本,,,协会,,TOOLS社长
401,Kaori AKIYAMA,,女,日本,,,企业,,STUDIO BYCOLOR创始人兼设计师
402,松永大演,Hiro Matsunaga,男,日本,,,媒体,,CAR STYLING主编（Chief Editor）
403,高田昭代,Akiyo Takada,女,日本,,,企业,"2016提名专家
2017提名专家
2018提名专家","Three Cs有限公司代表、AODJ负责人
Representative of Three Cs Co., Ltd.
Director of AODJ (Ambassador of Design, Japan)"
404,御园秀一,Hideichi Misono,男,日本,,,协会,"2016提名专家
2017提名专家
2018初评评委","日本工业设计师协会理事，丰田公司前设计总监
Japan Industrial Designers’ Association, Board Member
 Toyota Motor Corporation Design Center, Former Senior General Manager,"
405,田中一雄,Kazuo Tanaka,男,日本,,,协会,"2016复评评委
2017提名专家","GK设计集团股份有限公司总裁兼首席执行官，日本工业设计师协会主席
President & CEO of GK Design Group Inc., President of Japan Industrial Designers’ Association"
407,平川真纪,Maki Hirakawa,女,日本,,,协会,2017提名专家,"平川设计工作室有限公司创始人，总裁
HIRAKAWA DESIGN STUDIO INC., Founder & President"
408,今村有策,Yusaku Imamura,男,日本,,,奖项/组委会,2017提名专家,"东京设计周 董事
TOKYO DESIGN WEEK, Director of the Board"
410,津村真纪,Makiko Tsumura,女,日本,,,协会,,"日本设计振兴会（JDP）国际关系高级经理（Senior Manager, International Relations）"
412,杉田恵子,Keiko Sugita,女,日本,,,企业,,渡边诚System Planing研究室室秘书
413,佐藤大,Oki Sato,男,日本,,,企业,,设计师、设计工作室nendo创始人
414,加藤公敬,Kimitaka Kato,男,日本,,,协会,,JDP常务理事兼首席运营官（Executive Director & COO）
415,松本有,,/,日本,,,协会,,FORM株式会社 董事长兼总经理
416,太刀川英辅,Eisuke Tachikawa,男,日本,,,企业,2018总决赛评委,"Nosigner设计公司创始人
Founder of NOSIGNER"
417,川上元美,Motomi Kawakami,/,日本,,,协会,,JDP会长
418,大井笃,Atsushi Oi,男,日本,东京,,协会,,JDP (G-mark)          日本设计振兴会主席、CEO
420,manabu kawada,,男,日本,,,企业,,"Senior General Manager Design Laboratory
雅马哈设计研究所所长"
422,"Robert Tillertillerdesign.com
61 2 9818 5251","Robert Tillertillerdesign.com
61 2 9818 5251",男,澳大利亚,,,奖项/组委会,,"B. Des(IndDes) CEO/ Tiller Design/ Design Scientific+Medical Manufacturing
澳大利亚好设计奖创始人"
423,洪华,,男,中国,,,企业,,北京青禾谷仓科技有限公司联合创始人CEO/谷仓创业学院院长
425,杨明洁,,男,中国,,,企业,2019复评评委,"YANG DESIGN及羊舍创始人
Founder of YANG DESIGN & YANG HOUSE"
426,张琦,,男,中国,,,协会,2019复评评委,"北京光华设计发展基金会理事长 
President, Dragon Design Foundation"
427,Philipp Heidkamp,Philipp Heidkamp,/,德国,,,协会,,Dean of KISD（https://kisd.de/en/studium/menschen/prof-philipp-heidkamp/）
431,Martin Darbyshire,Martin Darbyshire,/,英国,,,企业,,橘子Tangerine创始人兼CEO
432,Aleks Tatic,Aleks Tatic,/,意大利,,,企业,,意大利 Tatic 设计工作室创始人
433,钟承东,Chengdong Zhong,男,中国,,,企业,2019初评评委,"金蝶首席用户体验官，助理总裁
CUEO, Assistant Executive, Kingdee"
434,黄峰,,/,中国,,,企业,,"X Thinking（体验思维）提出者
唐硕体验创新咨询创始人&CEO
同济大学设计创意学院客座教授"
435,刘怡君,,/,中国,,,协会,,UXPA中国主席
436,陈妍,Yan Chen,女,中国,,,企业,2019初评评委,"腾讯用户研究与体验设计中心总经理
Chief Manager of User Research & User Experience Design Center, Tencent"
